Cidade,Ano,Esporte,Modalidade,Event,Atleta,Sexo,Pais,Medalha,pais_iso3,pais_corrigido,Pais_limpo
Montreal,1976,Esportes Aquáticos,Saltos Ornamentais,Trampolim de 3m,"KÖHLER, Christa",Women,East Germany,Prata,DEU,East Germany,East Germany
Montreal,1976,Esportes Aquáticos,Saltos Ornamentais,Trampolim de 3m,"KOSENKOV, Aleksandr",Men,Soviet Union,Bronze,RUS,Soviet Union,Soviet Union
Montreal,1976,Esportes Aquáticos,Saltos Ornamentais,Trampolim de 3m,"BOGGS, Philip George",Men,United States,Ouro,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Saltos Ornamentais,Trampolim de 3m,"CAGNOTTO, Giorgio Franco",Men,Italy,Prata,ITA,Italy,Italy
Montreal,1976,Esportes Aquáticos,Saltos Ornamentais,Plataforma de 10m,"WILSON, Deborah Keplar",Women,United States,Bronze,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Saltos Ornamentais,Plataforma de 10m,"LOUGANIS, Gregory",Men,United States,Prata,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Saltos Ornamentais,Plataforma de 10m,"VAYTSEKHOVSKAYA, Elena",Women,Soviet Union,Ouro,RUS,Soviet Union,Soviet Union
Montreal,1976,Esportes Aquáticos,Saltos Ornamentais,Trampolim de 3m,"POTTER-MCINGVALE, Cynthia",Women,United States,Bronze,USA,United States,United States
Montreal,1976,Esportes Aquáticos,Saltos Ornamentais,Plataforma de 10m,"DIBIASI, Klaus",Men,Italy,Ouro,ITA,Italy,Italy
Montreal,1976,Esportes Aquáticos,Saltos Ornamentais,Plataforma de 10m,"ALEINIK, Vladimir",Men,Soviet Union,Bronze,RUS,Soviet Union,Soviet Union
Montreal,1976,Esportes Aquáticos,Saltos Ornamentais,Plataforma de 10m,"KNAPE-LINDBERGH, Ulrika",Women,Sweden,Prata,SWE,Sweden,Sweden
Montreal,1976,Esportes Aquáticos,Saltos Ornamentais,Trampolim de 3m,"CHANDLER, Jennifer Kay",Women,United States,Ouro,USA,United States,United States
